 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 18.1/(FRExt)| 04/17 | 22:02 |                        depth_ballet.yuv|   20 |  0/0  | 28 | 28 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 45.886|101.067| 57.266| 45.954|101.067| 57.265|  95260|1158310|      0|  1253980|        7853899   |        7420169   |
| 18.1/(FRExt)| 04/18 | 11:39 |                        depth_ballet.yuv|   20 |  0/0  | 28 | 28 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  32 |  1  | 25.00| CABAC|   1  |   OFF   |  0  | 45.886|101.067| 57.266| 45.807|101.067| 57.265|  95260|1170860|      0|  1266330|        3597790   |        3446043   |
| 18.1/(FRExt)| 04/18 | 17:27 |                        depth_ballet.yuv|   20 |  0/0  | 28 | 28 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  32 |  1  | 25.00| CABAC|   1  |   OFF   |  0  | 45.886|101.067| 57.266| 45.807|101.067| 57.265|  95260|1170860|      0|  1266330|        3585631   |        3434515   |
| 18.1/(FRExt)| 04/19 | 11:53 |                        depth_ballet.yuv|   20 |  0/0  | 28 | 28 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 45.886|101.067| 57.266| 45.958|101.067| 57.265|  95260|1253900|      0|  1349390|        1416434   |        1265763   |
| 18.1/(FRExt)| 04/19 | 20:59 |                        depth_ballet.yuv|   20 |  0/0  | 24 | 24 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.160|101.067| 57.933| 48.355|101.067| 57.510| 132850|1834330|      0|  1967410|        1447393   |        1290550   |
| 18.1/(FRExt)| 04/19 | 21:38 |                        depth_ballet.yuv|   20 |  0/0  | 32 | 32 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 43.128|101.067| 57.266| 43.058|101.067| 57.265|  65650| 808100|      0|   873980|        1401067   |        1254942   |
| 18.1/(FRExt)| 04/19 | 22:50 |                        depth_ballet.yuv|   20 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.859|101.067| 58.353| 49.527|101.067| 58.230| 158730|2269070|      0|  2428030|        1444100   |        1287499   |
| 18.1/(FRExt)| 04/22 | 10:19 |                        depth_ballet.yuv|   20 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.859|101.067| 58.353| 49.527|101.067| 58.230| 158730|2269070|      0|  2428030|        1454358   |        1295679   |
| 18.1/(FRExt)| 04/22 | 10:57 |                        depth_ballet.yuv|   20 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.859|101.067| 58.353| 49.527|101.067| 58.230| 158730|2269070|      0|  2428030|        1440288   |        1285403   |
| 18.1/(FRExt)| 04/22 | 12:06 |                        depth_ballet.yuv|   20 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.859|101.067| 58.353| 49.527|101.067| 58.230| 158730|2269070|      0|  2428030|        1442879   |        1286753   |
| 18.1/(FRExt)| 04/22 | 21:21 |                        depth_ballet.yuv|   20 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.859|101.067| 58.353| 49.527|101.067| 58.230| 158730|2269070|      0|  2428030|        1452184   |        1294535   |
| 18.1/(FRExt)| 04/24 | 17:34 |                        depth_ballet.yuv|   10 |  0/0  | 24 | 24 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  32 |  1  | 25.00| CABAC|   1  |   OFF   |  0  | 48.160|101.067| 57.933| 47.948|101.067| 57.320| 265700|1852320|      0|  2118440|        1716190   |        1607051   |
| 18.1/(FRExt)| 04/24 | 18:02 |                        depth_ballet.yuv|   10 |  0/0  | 24 | 24 | 30 |1024x768 |    0  |  0 |  FFS |  022 |   7 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.160|101.067| 57.933| 48.049|101.067| 57.431| 265700|1831420|      0|  2097580|         639025   |         529789   |
| 18.1/(FRExt)| 04/25 | 10:32 |                        depth_ballet.yuv|   10 |  0/0  | 24 | 24 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 47.875|101.067| 57.933| 47.435|101.067| 57.449| 256120|1490480|      0|  1747060|        1943157   |        1843262   |
| 18.1/(FRExt)| 04/25 | 11:19 |                        depth_ballet.yuv|   10 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.636|101.067| 58.353| 48.635|101.067| 58.104| 305280|1858840|      0|  2164580|        1933392   |        1830985   |
| 18.1/(FRExt)| 04/25 | 16:36 |                        depth_ballet.yuv|   10 |  0/0  | 22 | 22 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 48.636|101.067| 58.353| 48.635|101.067| 58.104| 305280|1858840|      0|  2164580|        1938612   |        1834575   |
| 18.1/(FRExt)| 04/25 | 17:12 |                        depth_ballet.yuv|   10 |  0/0  | 24 | 24 | 30 |1024x768 |    0  |  0 |  FFS |  022 |  16 |  5  | 25.00| CABAC|   1  |   OFF   |  0  | 47.875|101.067| 57.933| 47.435|101.067| 57.449| 256120|1490480|      0|  1747060|        1940575   |        1841788   |
